,NOC,Year,Medal
1537,SWE,1980,
1538,SWE,1980,
1539,JAM,1984,
1540,JAM,1988,
1541,USA,1996,
1542,SWE,1960,
1543,SWE,1960,
1544,SWE,1952,
1545,GHA,2000,
1546,NGR,1988,
1547,POL,1980,
1548,ESP,1992,
1549,PHI,1988,
1550,SOM,1988,
1551,SOM,1996,
1552,TUR,2016,
1553,ESP,1948,
1554,ESP,1948,
1555,TUR,1936,
1556,TUR,1936,
1557,GBR,2012,
1558,GBR,2016,
1559,AUS,2004,
1560,GBR,2016,
1561,GBR,1968,
1562,ALG,1980,
1563,EGY,1928,
1564,EGY,1928,
1565,ALG,2000,
1566,ALG,2000,
1567,BEL,1928,
1568,BEL,1928,
1569,BEL,1932,
1570,BEL,1936,
1571,BEL,1948,
1572,FRA,2008,
1573,FRA,2008,
1574,FRA,1992,
1575,FRA,1960,
1576,RSA,1992,
1577,GBR,1960,
1578,GHA,1996,
1579,GHA,1992,Bronze
1580,GHA,1996,
1581,GHA,1964,
1582,GHA,1968,
1583,SUI,1920,Bronze
1584,GBR,1964,
1585,GHA,1964,
1586,GHA,1960,
1587,GHA,1964,
1588,GHA,1964,
1589,GHA,1968,
1590,GHA,1968,
1591,GHA,1972,
1592,GHA,1972,
1593,LBR,2008,
1594,LBR,2012,
1595,GHA,1984,
1596,GHA,1984,
1597,GHA,1988,
1598,GHA,1996,
1599,GHA,1996,
1600,USA,1932,
1614,KEN,2016,
1615,GBR,1948,
1616,GBR,1948,
1617,NGR,2008,Silver
1618,NGR,1984,
1619,NGR,1996,
1620,NGR,1988,
1621,BRN,2016,
1622,NGR,1988,
1623,NGR,1992,
1624,NGR,2016,
1625,SUR,1996,
1626,SUR,1996,
1627,SUR,1996,
1628,SUR,1996,
1629,SUR,2000,
1630,SUR,2000,
1633,PHI,1956,
1634,NED,1980,
1635,NED,1980,
1636,JOR,1984,
1637,NGR,2008,Silver
1638,FRA,1928,
1639,FRA,1932,
1640,SEY,1992,
1642,ITA,2008,
1643,FRA,1924,
1644,FRA,1924,
1645,BEL,1928,
1646,BEL,1936,
1647,ERI,2012,
1648,ERI,2016,
1649,KEN,2016,
1650,NED,1984,
1651,BRA,1984,Silver
1652,BRA,1988,Silver
1653,DJI,1988,
1654,SOM,1996,
1655,SOM,2000,
1656,SOM,1972,
1657,SOM,1984,
1658,SOM,1984,
1659,SOM,1988,
1660,NGR,1988,
1661,NGR,1988,
1662,NGR,1988,
1663,NGR,1992,
1664,NGR,1992,
1665,NGR,1992,Silver
1666,NGR,1996,
1667,NGR,2016,
1668,BRA,2012,Gold
1669,BRA,2016,
1670,CMR,1968,
1671,CMR,1972,
1672,CMR,1972,
1673,GBR,2012,
1674,POL,1924,
1675,ETH,1996,
1676,ETH,2000,
1677,ETH,2008,
1678,GER,1952,
1679,UGA,2016,
1680,NGR,1988,
1681,BRA,1952,
1682,NGR,1980,
1683,BRA,1964,
1684,NGR,1984,
1685,NGR,1988,
1686,NGR,1988,
1687,NGR,1988,
1688,NGR,1988,
1692,NEP,2008,
1693,NGR,1980,
1694,UGA,1972,
1695,NGR,2012,
1696,ARM,2008,
1697,EGY,2016,
1698,SUD,1960,
1699,LBA,1996,
1700,LBA,2000,
1701,BRA,1972,
1702,BRA,1980,
1703,BRA,1984,
1704,NGR,1980,
1705,NGR,1980,
1706,NGR,1980,
1707,URU,1936,
1708,ISR,1960,
1709,UGA,1984,
1710,IND,1992,
1711,IND,1996,
1712,FRA,1992,Bronze
1713,FRA,1996,Gold
1714,FRA,2000,
1715,MGL,2016,
1716,PHI,1932,
1717,PHI,1936,
1718,PHI,1936,
1719,PHI,1936,
1722,GHA,1992,Bronze
1723,CIV,1964,
1724,CMR,2012,
1725,USA,2000,
1726,USA,2016,
1727,USA,1952,Gold
1728,USA,1996,Gold
1729,GBR,1948,Silver
1730,BRA,1984,
1731,BRA,1988,
1732,BRA,1992,
1733,BRA,1984,Silver
1734,BRA,1988,
1735,BRA,1992,
1736,GER,1960,
1737,GER,1960,Silver
1738,AUT,1912,
1739,AUT,1912,Bronze
1740,AUT,1924,
1741,BRA,1964,
1742,SWE,1960,
1743,SWE,1960,
1744,SWE,1960,
1745,SWE,1960,
1746,SWE,1960,
1747,SWE,1960,
1748,GER,1964,
1749,GER,1964,
1750,RUS,1912,
1751,SWE,1936,
1752,SWE,1936,Bronze
1753,SWE,1912,
1754,SWE,1912,
1755,SWE,1912,Gold
1756,SWE,1908,Bronze
1757,SWE,2012,
1758,SWE,2012,
1759,SWE,2012,
1760,SWE,2012,
1761,SWE,1908,
1762,SWE,1912,Gold
1763,SWE,1912,Gold
1764,SWE,1920,Silver
1765,SWE,1920,
1766,SWE,1924,
1767,SWE,1924,
1768,SWE,1912,
1769,SWE,1920,
1770,CAN,1976,
1771,CAN,1976,
1772,GBR,2008,Gold
1773,GBR,2008,Gold
1774,GBR,2012,Bronze
1775,GBR,2012,Bronze
1776,FRG,1988,
1777,GER,1996,
1778,EGY,1976,
1779,ALG,1980,
1780,GBR,1980,
1781,ETH,1960,
1782,NED,1924,
1783,NED,1928,
1784,SYR,1996,
1785,MAR,1960,
1786,MAR,1964,
1787,UGA,1960,
1788,UGA,1960,
1789,CIV,1984,
1790,PLW,2000,
1794,PHI,1948,
1796,SWE,1928,
1797,SWE,1988,
1798,SWE,1992,
1807,LTU,2000,Bronze
1808,LTU,2004,
1809,GHA,2000,
1810,SWE,1980,
1811,SWE,1980,
1812,SWE,1980,
1813,SWE,1980,
1814,SWE,1980,
1815,SWE,1984,
1816,SWE,1984,
1817,SWE,1984,
1818,SWE,1984,
1819,SWE,1984,
1820,LTU,2016,
1821,RSA,2000,
1822,FRA,1900,
1823,HUN,1936,
1824,HUN,1936,
1825,HUN,1972,
1826,PHI,1972,
1827,MON,1984,
1828,PUR,1996,
1829,PUR,1964,
1830,PUR,1968,
1831,BEN,1980,
1832,TOG,1972,
1833,BEL,1920,
1834,BEL,1920,
1835,BEL,1920,
1836,BEL,1920,
1837,BEL,1920,
1838,BEL,1920,
1839,BEL,1924,
1840,BEL,1924,
1841,BEL,1924,
1842,BEL,1928,
1843,USA,2008,Gold
1844,USA,2012,Gold
1845,USA,2012,Silver
1846,USA,2012,Gold
1847,USA,2016,Bronze
1848,USA,2016,Bronze
1849,USA,2016,Gold
1850,USA,2016,Gold
1851,NAM,2016,
1852,INA,1984,
1853,INA,1988,
1854,INA,1988,
1855,BRA,1992,
1856,BRA,1996,Silver
1857,BRA,2000,Bronze
1858,AHO,1960,
1859,AHO,1972,
1860,NED,2000,
1861,NED,2004,
1862,NED,2008,
1863,BRA,2000,Bronze
1864,BRA,2004,
1865,BRA,2008,
1866,BRA,2012,
1867,BRA,2016,
1868,BRA,1996,
1869,BRA,2004,
1870,BRA,2004,
1871,BRA,2008,
1872,HUN,1996,Silver
1874,GBR,1988,
1875,USA,2008,
1876,CHI,1952,
1877,CAN,2000,
1878,CAN,2000,
1879,MGL,1980,
1880,UKR,2004,
1881,UKR,2004,
1882,UKR,2008,
1883,UKR,2008,
1884,MGL,1980,
1886,KGZ,2016,
1887,KAZ,2008,
1888,UKR,1996,
1889,UKR,2000,
1890,ISL,1984,
1891,ASA,2008,
1893,SUI,1948,
1894,SUI,1936,
1895,SUI,1988,
1899,GER,1964,Silver
1900,RUS,1912,
1901,AUT,1972,
1902,BEL,1912,
1903,BEL,1912,
1904,SUI,1976,
1905,NED,1928,
1906,NED,1928,
1907,BEL,2012,
1908,BEL,2012,
1909,BEL,2016,
1910,BEL,2016,
1912,BEL,1928,
1913,BEL,1928,
1914,BEL,1928,
1916,BEL,2008,
1917,BEL,2012,
1918,SUI,1992,
1919,FRA,1992,
1920,FRA,1992,
1921,FRA,1996,
1922,SUI,1972,
1923,SUI,1972,
1924,SUI,1924,
1925,SUI,1924,
1928,SUI,1924,
1929,SUI,1928,
1930,SUI,1936,
1931,SWE,1912,
1932,SWE,1912,
1933,IRI,2008,
1934,PUR,2016,
1935,RUS,1996,
1936,URS,1968,
1937,RUS,2008,
1938,RUS,2008,
1939,RUS,2008,
1940,RUS,2008,
1941,RUS,2008,
1942,RUS,2012,Silver
1943,RUS,2012,
1944,RUS,2012,
1945,RUS,1996,
1946,MAR,1984,
1947,MAS,2012,
1948,MAS,2016,
1949,ETH,2004,
1950,AFG,1936,
1954,SUI,2012,
1955,SUI,1980,
1956,IRI,1988,
1959,EGY,2016,
1960,EGY,1948,
1961,EGY,2000,
1965,IRI,2000,
1966,SAM,2016,
1967,NGR,1996,
1968,NGR,1996,Silver
1969,NGR,2000,
1970,NGR,2000,
1971,URS,1972,
1972,EUN,1992,
1973,POR,1996,
1974,ANG,2016,
1975,RUS,2016,
1976,ROU,1976,Bronze
1977,RSA,2016,Bronze
1978,GHA,1972,
1979,GHA,1972,
1980,GRE,1996,
1981,GRE,2000,
1982,GRE,2004,
1983,GRE,2008,
1984,GRE,2012,
1985,GRE,2004,
1986,GRE,2008,
1987,GRE,2012,
1988,GRE,2016,
1989,IRI,1992,
1990,IRI,1992,
1991,IRI,1952,
1992,AFG,1948,
1993,PAK,1964,
1994,PAK,1988,
1995,PAK,1988,
1996,PAK,1988,
1997,PAK,1964,Silver
1998,IND,1996,
2002,RSA,2016,Bronze
2003,ROU,2012,
2004,ROU,1984,
2005,ROU,1984,Gold
2006,ROU,1984,
2007,ROU,1984,Bronze
2008,ROU,1984,
2009,ROU,1984,
2010,UZB,1996,
2011,UZB,2000,
2012,UZB,2004,
2014,RWA,2012,
2015,NGR,2000,
2016,ITA,2004,Bronze
2017,ITA,2008,Silver
2018,ITA,2012,
2019,ITA,2016,
2021,CRO,1996,
2022,CRO,2000,
2023,CRO,2000,
2024,URS,1964,
2025,URS,1968,
2026,DMA,2000,
2029,DMA,1996,
2030,PAN,1968,
2031,USA,1996,Gold
2032,USA,1996,
2033,SEY,1980,
2034,EGY,1924,
2035,EGY,1924,
2036,EGY,1936,
2037,AZE,2004,
2038,AZE,1996,
2041,NGR,1972,
2042,BEN,1972,
2043,NGR,1984,
2044,FRA,2016,Silver
2045,BRA,1996,
2046,BRA,2004,
2047,BEN,1992,
2048,TOG,2012,
2049,FRA,1980,
2050,PHI,1960,
2051,PHI,1968,
2052,USA,1928,
2054,USA,1984,
2055,HAI,1988,
2056,HAI,1996,
2057,UGA,1996,
2058,GBR,1976,
2059,GBR,1976,
2060,GBR,1980,
2061,DEN,2000,
2062,NOR,1920,Bronze
2063,NOR,2016,
2064,NOR,2016,
2065,URS,1956,Bronze
2066,URS,1960,Silver
2067,URS,1964,Bronze
2068,KEN,1960,
2069,KEN,1964,
2070,IND,2008,
2072,DEN,1908,
2073,ALG,2004,
2074,GHA,1964,
2075,ROU,1972,
2076,HUN,1992,
2077,HUN,1992,
2078,HUN,1988,
2079,HUN,1988,
2080,HUN,1992,
2081,HUN,1992,
2082,HUN,1996,
2083,ARM,2004,
2084,NGR,2000,
2085,IRI,1964,
2086,IRI,1948,
2087,IRI,1952,
2088,ARM,2016,
2089,NGR,1968,
2090,ESP,2004,
2091,ESP,2008,
2092,URS,1972,
2093,MLT,1980,
2094,MLT,1984,
2095,MLT,1988,
2096,MLT,2004,
2097,ITA,1908,
2098,RSA,2000,
2099,NED,2008,Gold
2100,NED,2012,Gold
2101,BEN,1980,
2109,FRA,2012,
2110,FRA,2012,Gold
2111,FRA,2012,Gold
2112,FRA,2012,Silver
2113,FRA,2012,
2114,FRA,2016,
2115,AUS,1948,
2116,AUS,1948,
2117,AUS,1952,
2118,AUS,1952,
2119,AUS,1952,
2120,ITA,1964,
2121,ITA,1908,
2122,NGR,1984,
2123,USA,2000,
2124,URU,1936,
2125,LUX,1984,
2129,POR,1988,
2130,POR,1988,
2131,POR,1992,
2132,ITA,1952,
2133,CUB,1948,
2134,TTO,1956,
2135,TTO,1956,
2136,AUS,1996,
2137,PUR,1988,
2140,HUN,1952,
2141,HUN,1952,
2142,AUT,2008,
2143,HUN,1964,Gold
2144,ITA,1928,Gold
2145,ITA,1932,Bronze
2146,ITA,1932,Silver
2147,ITA,1948,
2148,ITA,1948,Silver
2151,BRA,1984,
2152,POR,2016,
2153,GRE,2012,
2154,TUR,1968,
2155,CUB,1980,
2156,TUN,1996,
2159,SWE,1936,Bronze
2160,SWE,2012,
2161,BRA,2004,
2162,BRA,2008,
2163,BRA,2012,
2164,BRA,2016,
2165,SEY,2008,
2166,FRG,1976,
2167,FRG,1984,
2168,FRG,1988,
2169,GRE,1976,
2170,GRE,1906,Gold
2171,PUR,1984,
2172,CYP,1984,
2173,NED,1928,Gold
2174,DOM,2008,
2175,VEN,2016,
2176,BEN,1996,
2177,BEN,1996,
2178,CUB,1992,
2179,ARG,1948,
2180,CUB,1948,
2181,ARG,1968,
2182,ARG,1988,
2183,ARG,2008,Gold
2184,CUB,2000,Gold
2185,ITA,2008,
2186,CUB,1948,
2187,CUB,1948,
2188,CUB,1948,
2189,CUB,1948,
2190,CUB,1948,
2191,CUB,1948,
2192,CUB,1948,
2193,CUB,1948,
2194,CUB,1952,
2195,CUB,1952,
2196,CUB,1952,
2197,CUB,1952,
2198,CUB,1952,
2199,CUB,1952,
2200,CUB,1952,
2201,TOG,1988,
2202,ESP,1988,
2203,ANG,2000,
2204,URU,1960,
2205,ARG,1984,
2206,POR,1996,
2207,BRA,1992,
2208,GUI,1980,
2209,ARG,1988,
2210,CUB,1992,
2211,CUB,1996,
2212,VEN,2012,
2213,ESP,2008,
2214,ESP,2012,
2215,ESP,2016,
2216,FRG,1988,
2217,FRG,1988,
2218,FRG,1988,
2219,FRG,1988,
2220,FRG,1988,
2221,FRG,1988,
2222,FRG,1988,
2223,FRG,1988,
2224,CRC,1980,
2225,CRC,1980,
2226,CRC,1980,
2227,CRC,1980,
2228,CRC,1984,
2229,CRC,1984,
2230,CRC,1984,
2231,ESP,1980,
2232,ESP,1984,
2233,MEX,1948,
2234,MEX,1948,
2235,MEX,1948,
2236,MEX,1948,
2237,MEX,1948,
2238,MEX,1948,
2239,MEX,1948,
2240,MEX,1948,
2241,ESP,2004,
2242,ESP,2004,
2243,ESP,2008,
2244,MEX,1996,
2245,COL,2016,
2246,COL,2016,
2247,CHI,2016,
2248,ESP,1964,
2249,ESP,1964,
2250,PAN,1984,
2251,PAN,1992,
2252,ESP,2008,
2253,ESP,2012,
2254,ESP,2016,
2255,MEX,1996,
2256,CUB,1980,Bronze
2257,ARG,1964,
2258,CUB,2004,
2259,CUB,2008,
2260,CUB,2008,
2261,CRC,1968,
2262,MEX,1964,
2263,ESP,2012,Bronze
2264,ESP,2016,
2265,MEX,1924,
2266,MEX,1924,
2267,ESA,1968,
2268,MEX,1968,
2269,MEX,1972,
2270,MEX,1976,
2271,BIZ,2004,
2272,CRC,1988,
2273,CRC,1988,
2274,CHI,1984,
2275,CHI,1984,
2276,CHI,1984,
2277,CHI,1988,
2278,ESP,1984,
2279,ESP,2012,
2280,ESP,2016,Silver
2281,PAN,1968,
2282,MEX,1996,
2283,CUB,2016,
2284,ARG,2000,
2286,CUB,1960,
2287,NCA,2008,
2288,CUB,1992,Bronze
2289,MEX,2016,
2290,CUB,1996,
2291,CUB,2000,
2292,PUR,2004,
2293,ESP,2012,
2294,MEX,1968,
2295,MEX,1976,
2296,MEX,1976,
2297,COL,2016,
2298,COL,2016,
2299,MEX,2004,
2300,MEX,2008,
2301,MEX,2016,
2303,ARG,2016,
2304,ARG,2000,
2305,CUB,2008,
2306,CUB,2012,
2307,CUB,2012,
2308,MEX,1924,
2309,MEX,1928,
2310,MEX,1928,
2311,MEX,1948,
2312,MEX,1948,
2313,ARG,1992,
2314,ESP,1988,
2315,ESP,1992,
2316,ARG,1936,
2317,PAR,2008,
2318,PAR,2012,
2319,PAR,2016,
2321,VEN,1980,
2322,ARG,1924,
2323,NCA,1992,
2324,NCA,1996,
2325,CHI,1948,
2326,CHI,1948,
2327,URU,2012,
2328,ARG,2000,
2329,ESP,2012,
2330,FRA,1992,
2331,INA,2016,Silver
2332,ESP,1980,
2333,ESP,1948,
2334,ISL,1984,
2335,ISL,1984,
2336,ESP,1984,
2337,KEN,1996,
2338,GHA,1996,
2339,GHA,1996,
2340,GHA,2000,
2341,GHA,1964,
2342,GBR,1992,
2343,GBR,1996,
2344,GBR,1992,
2345,GBR,1996,
2346,AUS,1992,
2347,AUS,1996,
2348,AUS,2000,
2349,AUS,1964,
2350,USA,2000,
2351,USA,2004,
2352,USA,2008,Silver
2353,SEY,2008,
2354,MAS,1984,
2355,COM,2008,
2356,COM,2012,
2357,MAR,2004,
2358,MAR,2008,
2359,CMR,1980,
2360,NGR,1964,
2361,CAN,2016,
2362,USA,1920,
2364,GBR,1908,
2365,GBR,1908,
2366,GBR,1908,
2367,GBR,1908,Gold
2368,IRL,1948,
2369,IRL,1948,
2371,GHA,1964,
2372,GHA,1964,
2373,GHA,1964,
2374,GHA,1968,
2375,GHA,1968,
2376,GHA,1968,
2377,GHA,1972,
2378,TOG,1992,
2379,GHA,1992,
2380,MAR,1964,
2381,MAR,1968,
2382,GHA,1996,
2383,IND,1948,
2384,FIN,1936,
2385,FIN,1936,
2386,FIN,1932,Bronze
2387,FIN,1936,
2388,DEN,1972,
2389,SWE,1912,
2392,SWE,1948,
2393,SWE,1948,
2394,USA,1936,
2399,URU,1968,
2400,URU,1968,
2401,NED,1972,
2402,NED,1976,
2403,FIN,1924,Silver
2404,FIN,1928,
2405,SWE,1912,
2406,SWE,1912,Silver
2407,SWE,1920,
2408,SWE,1948,
2409,SWE,1948,
2410,USA,1948,Gold
2411,SWE,1992,
2412,SWE,1948,
2413,SWE,1964,
2414,SWE,2008,
2415,SWE,2012,
2416,FIN,1906,
2417,FIN,1906,
2418,FIN,1906,
2419,FIN,1906,
2420,FIN,1906,
2421,FIN,1906,
2422,GER,2004,
2423,GER,2004,Bronze
2424,GER,2008,
2425,GER,2008,
2426,GER,2012,
2427,GER,2012,
2428,GER,2016,
2429,GER,2016,Bronze
2430,DEN,1928,
2433,SWE,1932,Silver
2434,NOR,1964,
2435,NOR,1984,
2436,SWE,1928,
2437,FIN,1952,
2438,SWE,1952,Bronze
2439,SWE,1956,
2440,SWE,1956,
2441,IND,1980,
2442,IND,1980,
2443,EGY,1948,
2444,EGY,1948,
2445,PAK,1988,
2446,QAT,1984,
2447,GBR,1972,
2448,PAK,2000,
2449,UAE,2012,
2450,MAS,1976,
2451,MAS,1976,
2452,INA,2012,
2453,INA,2016,Gold
2454,PAK,2000,
2455,PAK,2004,
2456,PAK,2012,
2457,MAS,1976,
2458,IRI,2012,
2459,IRI,2012,
2460,IRI,2016,
2461,SWE,1948,
2462,SWE,1948,Gold
2463,SWE,1952,
2464,GER,1996,
2465,GER,2000,Bronze
2466,USA,1992,Gold
2467,USA,1992,Silver
2468,USA,1992,Gold
2469,EGY,2008,
2470,EGY,2008,
2471,SOM,1984,
2472,LBA,1988,
2473,LBA,1988,
2474,EGY,2004,
2475,PAK,1992,Bronze
2476,IRQ,1980,
2477,EGY,2000,
2478,PAK,1968,Gold
2479,MDV,2012,
2480,PAK,1960,Gold
2481,EGY,2016,
2482,PAK,2012,
2483,EGY,2016,
2484,IRQ,1980,
2485,IRQ,1948,
2486,IRQ,1988,
2487,EGY,2008,
2488,IND,1956,
2489,PAK,1984,Gold
2490,PAK,1988,
2491,EGY,2004,
2492,PAK,1988,
2493,PAK,1992,Bronze
2494,PAK,1996,
2495,PAK,1948,
2496,IRQ,2000,
2497,CAN,2012,
2498,CAN,2016,
2499,CAN,2016,
2500,PAK,2000,
2501,PAK,2004,
2502,PAK,1984,Gold
2503,PAK,1960,Gold
2504,PAK,2008,
2505,IRQ,1996,
2506,PAK,1968,Gold
2507,PAK,1972,Silver
2508,EGY,2016,
2509,EGY,2016,
2510,PAK,1988,
2511,PAK,1992,Bronze
2512,PAK,1996,
2513,IND,1992,
2514,MDV,2000,
2515,EGY,2012,
2516,PAK,2004,
2517,ETH,2008,
2518,YMD,1988,
2519,BAN,2016,
2532,FIN,1912,Bronze
2533,SWE,1928,
2534,FIN,1980,
2535,FIN,1960,
2536,FIN,1912,
2537,FIN,1912,
2538,BEN,1980,
2539,BEN,1980,
2540,FIN,1968,
2541,FIN,1968,
2542,FIN,1960,
2544,FIN,1988,
2545,FIN,1992,
2546,FIN,1996,
2547,FIN,2004,
2548,TOG,1992,
2566,FIN,1972,
2567,FIN,1976,
2569,BEN,2012,
2570,CIV,2012,
2571,CIV,2012,
2572,CIV,2016,
2573,CIV,2016,
2574,FRG,1972,
2575,GER,1960,
2576,GER,1964,Silver
2577,GDR,1976,Gold
2578,USA,2000,
2579,USA,2004,Gold
2580,NAM,2008,
2581,NAM,2012,
2582,NAM,2016,
2583,PER,1948,
2584,CHI,1956,Silver
2585,CHI,1960,
2586,GER,2000,
2587,GER,1964,Silver
2590,INA,2012,
2591,INA,2016,
2592,LBA,1992,
2593,USA,2016,
2594,SWE,1956,
2597,COL,1948,
2598,CHI,1984,
2599,MEX,1924,
2600,MEX,1924,
2601,MEX,1956,
2602,MEX,1956,
2603,EST,2008,
2604,EST,2012,
2605,FIN,1960,
2606,TTO,2012,
2607,TTO,2012,
2608,TTO,2016,
2609,TTO,2016,
2610,TTO,2016,
2611,CHN,2004,
2612,CHN,2016,
2613,CHN,2016,
2614,FRA,2016,
2615,ITA,2012,Silver
2616,ITA,2016,Bronze
2617,ARG,1996,
2618,ARG,2000,Silver
2619,ARG,2004,Bronze
2620,ARG,2008,Bronze
2621,ALG,2004,
2623,FRG,1968,
2624,ARG,1948,
2625,ROU,2016,
2626,JPN,1964,
2627,MTN,1992,
2628,MTN,1996,
2629,RUS,1912,
2630,ALG,1980,
2631,ALG,1980,
2632,ALG,1984,
2633,LTU,2012,
2634,LTU,2016,
2635,ITA,2016,Silver
2636,ITA,1984,
2637,AUT,1924,Silver
2638,GER,2012,Bronze
2639,GER,2016,
2640,AUT,1964,
2641,AUT,1964,
2642,AUT,1964,
2643,AUT,1968,
2644,JPN,1956,
2645,JPN,1956,Silver
2646,JPN,1956,Silver
2647,JPN,1956,
2648,JPN,1956,
2649,JPN,1956,
2650,JPN,1956,
2651,JPN,1956,
2652,JPN,1960,
2653,JPN,1960,Gold
2654,JPN,1960,Gold
2655,JPN,1960,
2656,JPN,1960,
2657,JPN,1960,
2658,JPN,1960,
2659,JPN,1960,
2660,JPN,1936,
2661,JPN,1936,
2662,JPN,1992,
2663,JPN,1992,Bronze
2664,JPN,1992,
2665,JPN,1992,
2666,JPN,1992,
2667,JPN,1992,
2668,JPN,1992,
2669,JPN,1992,
2672,JPN,2004,Bronze
2673,GBR,2016,
2674,AUS,1956,Bronze
2675,ITA,2000,
2676,ITA,1992,
2677,ITA,1996,
2678,ARG,1948,
2679,FRA,1964,
2680,THA,1956,
2687,FRA,2000,
2688,GBR,1996,Silver
2689,GBR,2000,Gold
2690,GBR,2004,Gold
2691,GBR,2008,Gold
2692,GBR,2012,Gold
2693,RSA,1992,
2694,RSA,1996,
2695,RSA,2000,
2696,USA,2000,Gold
2698,GBR,2016,
2699,GBR,1920,
2700,GBR,1920,Gold
2701,SWE,1980,
2702,SWE,1980,
2703,GBR,1948,
2704,ARG,1988,
2705,FIN,1976,
2706,FIN,1976,
2709,GBR,1928,
2710,GBR,1932,
2711,NZL,2000,
2712,NZL,2004,
2713,GBR,1960,
2714,GBR,1964,
2715,GBR,1968,Bronze
2716,FRA,2004,
2717,ALG,2008,
2718,ALG,2012,
2719,SGP,2016,
2720,ALG,2016,
2721,MAR,2004,
2722,ALG,2008,
2723,MAR,2016,
2724,MAR,2004,
2725,MAR,2000,
2726,MAR,2004,
2727,MAR,2004,
2728,ALG,1988,
2733,TUN,2012,
2734,MAR,2016,
2735,FRA,2016,
2736,FRA,2016,
2737,ALG,2004,
2738,ALG,2004,
2739,ALG,2008,
2740,ALG,2012,
2741,ALG,2016,
2747,PER,2000,
2748,CAN,1936,Silver
2749,GBR,1912,Silver
2750,GBR,1912,
2751,GBR,1948,
2752,USA,1928,
2753,AUS,1992,Silver
2754,AUS,1996,Bronze
2755,AUS,2000,
2756,AUS,2000,Gold
2757,BER,2004,
2758,BER,2008,
2759,USA,1928,
2760,ANZ,1908,
2761,FRA,1900,Gold
2762,KAZ,2004,
2763,KAZ,2008,
2764,UKR,2000,
2765,UKR,2000,
2766,UKR,2000,
2767,UKR,2004,
2768,UKR,2004,
2769,UKR,2004,
2770,UKR,2008,
2771,UKR,2008,
2772,UKR,2008,Gold
2773,UKR,2012,
2774,UKR,2012,
2775,UKR,2012,
2776,NGR,2000,
2779,JPN,1928,
2780,JPN,1928,
2781,JPN,1928,
2782,FRG,1988,
2783,FRG,1988,
2784,FRG,1988,
2785,FRG,1988,
2786,MEX,1960,
2787,GRE,2000,Bronze
2788,NGR,1952,
2789,NGR,1952,
2790,NGR,1956,
2791,NGR,1956,
2792,NGR,2016,
2793,IRI,1992,
2794,UGA,2004,
2795,NGR,2016,Bronze
2796,NGR,2000,
2797,SWE,2016,
2798,CUB,1992,Gold
2799,CUB,1996,Gold
2800,CUB,2000,Silver
2801,SCG,2000,
2802,NGR,2008,Silver
2803,SYR,1980,
2804,SYR,1984,
2805,SYR,1980,
2806,SYR,1984,
2807,HUN,2000,
2808,HUN,2004,
2809,NGR,1992,
2810,CAN,2016,Bronze
2811,NGR,2000,
2812,NGR,2000,
2813,NGR,1996,
2814,NGR,1996,
2815,NGR,1996,Gold
2816,TUR,1988,
2817,CIV,2000,
2818,FRA,2004,
2819,FRA,2008,
2820,JPN,2008,
2821,JPN,2008,
2822,SLE,1980,
2823,SLE,1980,
2824,SLE,1980,
2825,GBR,1984,
2826,GBR,1984,Silver
2827,GBR,1988,
2828,GBR,1988,
2829,GBR,1992,Bronze
2830,GBR,1992,Bronze
2831,ALG,1980,
2832,JPN,1996,
2833,JPN,1956,
2834,JPN,1956,
2835,JPN,1956,
2836,JPN,1956,
2837,JPN,2000,
2838,JPN,1984,Silver
2839,JPN,1988,
2840,JPN,1992,Bronze
2841,FRA,2016,
2842,JPN,1964,
2843,NGR,2012,
2844,NGR,1988,
2845,NGR,1988,
2846,TUR,1948,Gold
2850,KEN,1984,
2851,KEN,1988,
2852,JPN,1984,
2853,RUS,1996,
2854,RUS,1996,
2855,GHA,1984,
2857,TUR,2000,
2858,TUR,2000,
2859,PAK,2004,
2860,PAK,2008,
2861,PAK,2008,
2862,IRI,1976,
2863,IRI,1976,
2864,IRI,1976,
2865,IRI,1992,
2866,UZB,2004,
2867,TUR,1952,
2868,TUR,1924,
2869,TUR,1956,Bronze
2870,TUR,1960,
2871,TUR,1964,Silver
2872,TUR,1952,
2873,TUR,1968,
2874,TUR,1972,
2875,VIN,2012,
2876,TUR,2016,
2877,TUR,2012,
2878,TUR,2016,
2879,TUR,1968,
2880,TUR,1972,Silver
2881,TUR,1976,
2882,TUR,2012,
2883,TUR,2012,
2884,TUR,2000,
2885,TUR,1964,
2886,LTU,1928,
2887,SAM,2004,
2888,SAM,2008,
2893,SWE,1988,
2894,SWE,1988,
2895,SWE,1988,
2896,FIN,1992,
2897,SWE,1920,
2899,FIN,1948,
2900,FIN,1960,
2901,FIN,1960,
2902,SWE,2004,
2903,SWE,1936,
2904,SWE,1948,Gold
2905,SWE,1952,Silver
2906,SWE,1932,Gold
2907,AUS,1972,
2908,AUS,1976,
2911,USA,1996,Gold
2912,GBR,1992,
2913,GBR,1992,
2914,GBR,1992,
2915,SWE,1968,
2919,SWE,1912,
2921,GRE,1906,
2922,TUR,2008,
2923,TUR,1984,
2924,TUR,2008,
2925,TUR,2012,
2926,TUR,2016,Gold
2927,TUR,1952,
2928,UKR,2016,
2929,URS,1980,Gold
2930,KEN,1988,
2931,KEN,1992,
2942,CYP,2000,
2943,CYP,2004,
