NOC,Year,Total_Gold,Total_Silver,Total_Bronze
GRE,2012,678.0,634.0,659.0
GRE,2016,678.0,634.0,659.0
GRN,2012,1200.0,1249.0,1275.0
GRN,2016,1200.0,1249.0,1275.0
GUA,2012,1275.0,1249.0,1275.0
GUY,1980,1275.0,1275.0,1238.0
HAI,1900,1200.0,1249.0,1158.0
HAI,1924,1200.0,1249.0,1158.0
HAI,1928,1200.0,1249.0,1158.0
HKG,1996,1200.0,1185.0,1238.0
HKG,2004,1200.0,1185.0,1238.0
HKG,2012,1200.0,1185.0,1238.0
HUN,1896,169.0,223.0,222.0
HUN,1900,169.0,223.0,222.0
HUN,1904,169.0,223.0,222.0
HUN,1906,169.0,223.0,222.0
HUN,1908,169.0,223.0,222.0
HUN,1912,169.0,223.0,222.0
HUN,1924,169.0,223.0,222.0
HUN,1928,169.0,223.0,222.0
HUN,1932,169.0,223.0,222.0
HUN,1936,169.0,223.0,222.0
HUN,1948,169.0,223.0,222.0
HUN,1952,169.0,223.0,222.0
HUN,1956,169.0,223.0,222.0
HUN,1960,169.0,223.0,222.0
HUN,1964,169.0,223.0,222.0
HUN,1968,169.0,223.0,222.0
HUN,1972,169.0,223.0,222.0
HUN,1976,169.0,223.0,222.0
HUN,1980,169.0,223.0,222.0
HUN,1988,169.0,223.0,222.0
HUN,1992,169.0,223.0,222.0
HUN,1996,169.0,223.0,222.0
HUN,2000,169.0,223.0,222.0
HUN,2004,169.0,223.0,222.0
HUN,2008,169.0,223.0,222.0
HUN,2012,169.0,223.0,222.0
HUN,2016,169.0,223.0,222.0
INA,1988,938.0,899.0,1055.0
INA,1992,938.0,899.0,1055.0
INA,1996,938.0,899.0,1055.0
INA,2000,938.0,899.0,1055.0
INA,2004,938.0,899.0,1055.0
INA,2008,938.0,899.0,1055.0
INA,2012,938.0,899.0,1055.0
INA,2016,938.0,899.0,1055.0
IND,1900,471.0,884.0,805.0
IND,1928,471.0,884.0,805.0
IND,1932,471.0,884.0,805.0
IND,1936,471.0,884.0,805.0
IND,1948,471.0,884.0,805.0
IND,1952,471.0,884.0,805.0
IND,1956,471.0,884.0,805.0
IND,1960,471.0,884.0,805.0
IND,1964,471.0,884.0,805.0
IND,1968,471.0,884.0,805.0
IND,1972,471.0,884.0,805.0
IND,1980,471.0,884.0,805.0
IND,1996,471.0,884.0,805.0
IND,2000,471.0,884.0,805.0
IND,2004,471.0,884.0,805.0
IND,2008,471.0,884.0,805.0
IND,2012,471.0,884.0,805.0
IND,2016,471.0,884.0,805.0
IOA,1992,1200.0,1249.0,1168.0
IOA,2016,1200.0,1249.0,1168.0
IRI,1948,889.0,866.0,879.0
IRI,1952,889.0,866.0,879.0
IRI,1956,889.0,866.0,879.0
IRI,1960,889.0,866.0,879.0
IRI,1964,889.0,866.0,879.0
IRI,1968,889.0,866.0,879.0
IRI,1972,889.0,866.0,879.0
IRI,1976,889.0,866.0,879.0
IRI,1988,889.0,866.0,879.0
IRI,1992,889.0,866.0,879.0
IRI,1996,889.0,866.0,879.0
IRI,2000,889.0,866.0,879.0
IRI,2004,889.0,866.0,879.0
IRI,2008,889.0,866.0,879.0
IRI,2012,889.0,866.0,879.0
IRI,2016,889.0,866.0,879.0
IRL,1924,979.0,933.0,1055.0
IRL,1928,979.0,933.0,1055.0
IRL,1932,979.0,933.0,1055.0
IRL,1948,979.0,933.0,1055.0
IRL,1952,979.0,933.0,1055.0
IRL,1956,979.0,933.0,1055.0
IRL,1964,979.0,933.0,1055.0
IRL,1980,979.0,933.0,1055.0
IRL,1984,979.0,933.0,1055.0
IRL,1992,979.0,933.0,1055.0
IRL,1996,979.0,933.0,1055.0
IRL,2000,979.0,933.0,1055.0
IRL,2008,979.0,933.0,1055.0
IRL,2012,979.0,933.0,1055.0
IRL,2016,979.0,933.0,1055.0
IRQ,1960,1275.0,1275.0,1238.0
ISL,1956,1275.0,913.0,1199.0
ISL,1984,1275.0,913.0,1199.0
ISL,2000,1275.0,913.0,1199.0
ISL,2008,1275.0,913.0,1199.0
